Block,Duration,X_Coordination,Y_Coordination,Z_Coordination,SpawnTime
Block,Duration,X_Coordination,Y_Coordination,Z_Coordination,SpawnTime
Block,Duration,X_Coordination,Y_Coordination,Z_Coordination,SpawnTime
Block,Duration,X_Coordination,Y_Coordination,Z_Coordination,SpawnTime
AR-difficult,1750000,(1.6, 1.2, -0.2),1686861975708
AR-difficult,1500000,(1.6, 1.2, -0.2),1686861983475
AR-difficult,1750000,(1.6, 1.2, -0.2),1686861990982
AR-difficult,1250000,(1.6, 1.2, -0.2),1686861998741
AR-difficult,1500000,(1.6, 1.2, -0.2),1686862006000
AR-difficult,1500000,(1.6, 1.2, -0.2),1686862013509
AR-difficult,1250000,(1.6, 1.2, -0.2),1686862021017
AR-difficult,1750000,(1.6, 1.2, -0.2),1686862028279
AR-difficult,1500000,(1.6, 1.2, -0.2),1686862036038
AR-difficult,1500000,(1.6, 1.2, -0.2),1686862043546
AR-difficult,1750000,(1.6, 1.2, -0.2),1686862051053
AR-difficult,1500000,(1.6, 1.2, -0.2),1686862058812
AR-difficult,1750000,(1.6, 1.2, -0.2),1686862066318
AR-difficult,1250000,(1.6, 1.2, -0.2),1686862074076
AR-difficult,1250000,(1.6, 1.2, -0.2),1686862081333
AR-difficult,1750000,(1.6, 1.2, -0.2),1686862088591
AR-difficult,1250000,(1.6, 1.2, -0.2),1686862096351
AR-difficult,1750000,(1.6, 1.2, -0.2),1686862103613
AR-difficult,1750000,(1.6, 1.2, -0.2),1686862111370
AR-difficult,1750000,(1.6, 1.2, -0.2),1686862143973
AR-difficult,1750000,(1.6, 1.2, -0.2),1686862151732
Block,Duration,X_Coordination,Y_Coordination,Z_Coordination,SpawnTime
AR-difficult,1750000,(1.6, 1.2, -0.2),1686862293228
AR-difficult,1500000,(1.6, 1.2, -0.2),1686862300986
AR-difficult,1250000,(1.6, 1.2, -0.2),1686862308495
AR-difficult,1500000,(1.6, 1.2, -0.2),1686862315751
AR-difficult,1500000,(1.6, 1.2, -0.2),1686862323259
AR-difficult,1250000,(1.6, 1.2, -0.2),1686862330768
AR-difficult,1500000,(1.6, 1.2, -0.2),1686862338026
AR-difficult,1750000,(1.6, 1.2, -0.2),1686862345532
Block,Duration,X_Coordination,Y_Coordination,Z_Coordination,SpawnTime
1688032397471,AR-easy,-1,1250,1.6,1.2,-0.211
1688032398747,AR-easy,0,1750,1.6,1.2,-0.211
1688032401502,AR-easy,1,1750,1.6,1.2,-0.211
1688032404270,AR-easy,2,1250,1.6,1.2,-0.211
1688032406536,AR-easy,3,1750,1.6,1.2,-0.211
1688032409302,AR-easy,4,1250,1.6,1.2,-0.211
1688032482308,AR-easy,-1,1500,1.6,1.2,-0.211
1688032483828,AR-easy,0,1250,1.6,1.2,-0.211
1688219909028,VR-difficult,-1,1250,1.6,1.2,-0.211
1688219910299,VR-difficult,0,1250,1.6,1.2,-0.211
1688219917565,VR-difficult,1,1250,1.6,1.2,-0.211
1688219924825,VR-difficult,2,1750,1.6,1.2,-0.211
1688219982611,VR-difficult,-1,1250,1.6,1.2,-0.211
1688219983882,VR-difficult,0,1250,1.6,1.2,-0.211
1688219985141,VR-difficult,1,1750,1.6,1.2,-0.211
1688219986899,VR-difficult,2,1750,1.6,1.2,-0.211
1688219988658,VR-difficult,3,1500,1.6,1.2,-0.211
1688219990166,VR-difficult,4,1250,1.6,1.2,-0.211
1688219991426,VR-difficult,5,1500,1.6,1.2,-0.211
1688219992935,VR-difficult,6,1500,1.6,1.2,-0.211
1688219994445,VR-difficult,7,1500,1.6,1.2,-0.211
1688220289164,VR-difficult,-1,1250,1.6,1.2,-0.211
1688220296426,VR-difficult,0,1750,1.6,1.2,-0.211
1688220304191,VR-difficult,1,1750,1.6,1.2,-0.211
1688220311955,VR-difficult,2,1750,1.6,1.2,-0.211
1688220324109,VR-difficult,-1,1500,1.6,1.2,-0.211
1688220331622,VR-difficult,0,1750,1.6,1.2,-0.211
1688220339381,VR-difficult,1,1750,1.6,1.2,-0.211
1688223538970,VR-difficult,-1,1250,1.6,1.2,-0.211
1688223540236,VR-difficult,-1,1250,1.6,1.2,-0.211
1688223541493,VR-difficult,-1,1750,1.6,1.2,-0.211
1688223543249,VR-difficult,-1,1250,1.6,1.2,-0.211
1688223544506,VR-difficult,-1,1750,1.6,1.2,-0.211
1688223546261,VR-difficult,-1,1750,1.6,1.2,-0.211
1688223548017,VR-difficult,-1,1500,1.6,1.2,-0.211
1688223549522,VR-difficult,-1,1500,1.6,1.2,-0.211
