Time,Block,TaskCount,State
1688032400506,AR-easy,1,start
1688032400513,AR-easy,1,end
1688032403259,AR-easy,2,start
1688032403269,AR-easy,2,end
1688032405526,AR-easy,3,start
1688032405535,AR-easy,3,end
1688032408291,AR-easy,4,start
1688032408301,AR-easy,4,end
1688032410559,AR-easy,5,start
1688032410568,AR-easy,5,end
1688032485086,AR-easy,1,start
1688219911558,VR-difficult,1,start
1688219916564,VR-difficult,1,end
1688219918825,VR-difficult,2,start
1688219923827,VR-difficult,2,end
1688220290425,VR-difficult,0,start
1688220295427,VR-difficult,0,end
1688220298184,VR-difficult,1,start
1688220303186,VR-difficult,1,end
1688220305951,VR-difficult,2,start
1688220310956,VR-difficult,2,end
1688220313711,VR-difficult,3,start
1688220325620,VR-difficult,0,start
1688220330622,VR-difficult,0,end
1688220333381,VR-difficult,1,start
1688220338383,VR-difficult,1,end
1688220341140,VR-difficult,2,start
1688224247724,VR-difficult,1,start
1688224252727,VR-difficult,1,end
1688224255232,VR-difficult,2,start
1688224260235,VR-difficult,2,end
1688224262994,VR-difficult,3,start
1688224267998,VR-difficult,3,end
1688224270506,VR-difficult,4,start
1688224275507,VR-difficult,4,end
1688224277768,VR-difficult,5,start
1688224282772,VR-difficult,5,end
1688226727983,AR-difficult,1,start
1688227267991,AV-easy,0,start
1688227284311,AV-easy,0,end
1688227287070,AV-easy,1,start
1688227292074,AV-easy,1,end
1688227294830,AV-easy,2,start
1688227299832,AV-easy,2,end
1688227302587,AV-easy,3,start
1688227307589,AV-easy,3,end
1688227310093,AV-easy,4,start
1688227315096,AV-easy,4,end
1688227317352,AV-easy,5,start
1688227322354,AV-easy,5,end
1689327664799,VR-easy,1,start
1689327669802,VR-easy,1,end
1689327672305,VR-easy,2,start
1689327677308,VR-easy,2,end
1689327679561,VR-easy,3,start
1689327684563,VR-easy,3,end
1689327686820,VR-easy,4,start
1689327691821,VR-easy,4,end
1689327694572,VR-easy,5,start
1689327699575,VR-easy,5,end
1689327702082,VR-easy,6,start
1689327707083,VR-easy,6,end
1689327709340,VR-easy,7,start
1689327714344,VR-easy,7,end
1689327716848,VR-easy,8,start
1689327721851,VR-easy,8,end
1689327724606,VR-easy,9,start
1689327729607,VR-easy,9,end
1689327732360,VR-easy,10,start
1689327737364,VR-easy,10,end
1691950727580,VR-easy,1,cross,start
1691950728832,VR-easy,1,cross,end
1691950728832,VR-easy,1,vs,start
1691950816885,VR-easy,1,vs,end
1691950816885,VR-easy,1,isi,start
1691950817889,VR-easy,1,isi,end
1691950817893,VR-easy,2,cross,start
1691950819644,VR-easy,2,cross,end
1691950819644,VR-easy,2,vs,start
1691950925979,VR-easy,2,vs,end
1691950925979,VR-easy,2,isi,start
1691950926982,VR-easy,2,isi,end
1691950926986,VR-easy,3,cross,start
1691950928236,VR-easy,3,cross,end
1691950928236,VR-easy,3,vs,start
