Time,Block,TaskCount,State
1689549976227,training,1,start
1689549981232,training,1,end
1689549983485,training,2,start
1689549988487,training,2,end
1689549990740,training,3,start
1689549995740,training,3,end
1711142869245,training,1,cross,start
1711142870995,training,1,cross,end
1711142870995,training,1,vs,start
1711142875997,training,1,vs,end
1711142875997,training,1,isi,start
1711142876997,training,1,isi,end
1711142877001,training,2,cross,start
1711142878501,training,2,cross,end
1711142878501,training,2,vs,start
1711142883503,training,2,vs,end
1711142883503,training,2,isi,start
1711142884506,training,2,isi,end
1711142884512,training,3,cross,start
1711142885766,training,3,cross,end
1711142885766,training,3,vs,start
1711142890767,training,3,vs,end
1711142890767,training,3,isi,start
1711142891768,training,3,isi,end
1711142891773,training,4,cross,start
1711142893029,training,4,cross,end
1711142893029,training,4,vs,start
1711142898033,training,4,vs,end
1711142898033,training,4,isi,start
1711142899036,training,4,isi,end
1711142899041,training,5,cross,start
1711142900543,training,5,cross,end
1711142900543,training,5,vs,start
1711142905546,training,5,vs,end
1711142905546,training,5,isi,start
1711142906546,training,5,isi,end
1711142906551,training,6,cross,start
1711142907801,training,6,cross,end
1711142907801,training,6,vs,start
1711142912805,training,6,vs,end
1711142912805,training,6,isi,start
1711142913807,training,6,isi,end
1711142913809,training,7,cross,start
1711142915310,training,7,cross,end
1711142915310,training,7,vs,start
1711142920311,training,7,vs,end
1711142920311,training,7,isi,start
1711142921313,training,7,isi,end
1711142921316,training,8,cross,start
1711142922568,training,8,cross,end
1711142922568,training,8,vs,start
1711142927569,training,8,vs,end
1711142927569,training,8,isi,start
1711142928571,training,8,isi,end
1711142928573,training,9,cross,start
1711142930323,training,9,cross,end
1711142930323,training,9,vs,start
1711142935323,training,9,vs,end
1711142935323,training,9,isi,start
1711142936323,training,9,isi,end
1711142936325,training,10,cross,start
1711143120288,training,10,cross,end
1711143120288,training,10,vs,start
1711143125289,training,10,vs,end
1711143125289,training,10,isi,start
1711143126289,training,10,isi,end
1711143126291,training,11,cross,start
1711143128042,training,11,cross,end
1711143128042,training,11,vs,start
1711143133043,training,11,vs,end
1711143133043,training,11,isi,start
1711143134044,training,11,isi,end
1711143134047,training,12,cross,start
1711143135549,training,12,cross,end
1711143135549,training,12,vs,start
1711143140550,training,12,vs,end
1711143140550,training,12,isi,start
1711143141551,training,12,isi,end
1711143141554,training,13,cross,start
1711143143304,training,13,cross,end
1711143143304,training,13,vs,start
1711143148304,training,13,vs,end
1711143148304,training,13,isi,start
1711143149304,training,13,isi,end
1711143149307,training,14,cross,start
1711143150808,training,14,cross,end
1711143150809,training,14,vs,start
1711143155809,training,14,vs,end
1711143155809,training,14,isi,start
1711143156810,training,14,isi,end
1711143156813,training,15,cross,start
1711143158313,training,15,cross,end
1711143158313,training,15,vs,start
1711143163315,training,15,vs,end
1711143163315,training,15,isi,start
1711143164317,training,15,isi,end
1711143164319,training,16,cross,start
1711143166070,training,16,cross,end
1711143166070,training,16,vs,start
1711143171070,training,16,vs,end
1711143171071,training,16,isi,start
1711143172071,training,16,isi,end
1711143172073,training,17,cross,start
1711143173823,training,17,cross,end
1711143173823,training,17,vs,start
1711143178824,training,17,vs,end
1711143178824,training,17,isi,start
1711143179825,training,17,isi,end
1711143179828,training,18,cross,start
1711143181578,training,18,cross,end
1711143181578,training,18,vs,start
1711143186579,training,18,vs,end
1711143186579,training,18,isi,start
1711143187579,training,18,isi,end
1711143187582,training,19,cross,start
1711143188833,training,19,cross,end
1711143188833,training,19,vs,start
1711143193833,training,19,vs,end
1711143193833,training,19,isi,start
1711143194834,training,19,isi,end
1711143194836,training,20,cross,start
1711143196086,training,20,cross,end
1711143196086,training,20,vs,start
1711143270287,training,1,cross,start
1711143271788,training,1,cross,end
1711143271788,training,1,vs,start
1711143276789,training,1,vs,end
1711143276789,training,1,isi,start
1711143277789,training,1,isi,end
1711143277791,training,2,cross,start
1711143279541,training,2,cross,end
1711143279541,training,2,vs,start
1711143284543,training,2,vs,end
1711143284543,training,2,isi,start
1711143285544,training,2,isi,end
1711143285547,training,3,cross,start
1711143287298,training,3,cross,end
1711143287298,training,3,vs,start
1711143292300,training,3,vs,end
1711143292300,training,3,isi,start
1711143293300,training,3,isi,end
1711143293302,training,4,cross,start
1711143295052,training,4,cross,end
1711143295052,training,4,vs,start
1711143300054,training,4,vs,end
1711143300054,training,4,isi,start
1711143301055,training,4,isi,end
1711143301057,training,5,cross,start
1711143302807,training,5,cross,end
1711143302807,training,5,vs,start
1711143307808,training,5,vs,end
1711143307808,training,5,isi,start
1711143308810,training,5,isi,end
1711143308812,training,6,cross,start
1711143310314,training,6,cross,end
1711143310314,training,6,vs,start
1711143315316,training,6,vs,end
1711143315316,training,6,isi,start
1711143316316,training,6,isi,end
1711143316318,training,7,cross,start
1711143318068,training,7,cross,end
1711143318068,training,7,vs,start
1711143323068,training,7,vs,end
1711143323068,training,7,isi,start
1711143324068,training,7,isi,end
1711143324070,training,8,cross,start
1711143325320,training,8,cross,end
1711143325320,training,8,vs,start
1711143330320,training,8,vs,end
1711143330320,training,8,isi,start
1711143331321,training,8,isi,end
1711143331323,training,9,cross,start
1711143333074,training,9,cross,end
1711143333074,training,9,vs,start
1711143338076,training,9,vs,end
1711143338076,training,9,isi,start
1711143339076,training,9,isi,end
1711143339080,training,10,cross,start
1711143349621,training,10,cross,end
1711143349621,training,10,vs,start
