Block,Pattern,Item,Tag,X_Coordination,Y_Coordination,Z_Coordination
Block,Pattern,Item,Tag,X_Coordination,Y_Coordination,Z_Coordination
Block,Pattern,Item,Tag,X_Coordination,Y_Coordination,Z_Coordination
training,0,Red Cube,Other Object,(2.6, 1.2, 1.0)
training,0,Red Cylinder,Other Object,(2.2, 1.6, -1.0)
training,0,Red Sphere,Other Object,(2.2, 2.0, 0.4)
training,0,Red Sphere,Other Object,(1.3, 1.9, 0.4)
training,0,Red Cylinder,Other Object,(1.9, 0.8, -1.1)
training,0,Red Pyramids,Other Object,(2.5, 0.2, 0.9)
training,0,Red Cylinder,Other Object,(2.7, 1.2, 1.8)
training,0,Yellow Cube,Other Object,(1.1, 0.8, 0.4)
training,0,Yellow Cube,Other Object,(1.6, 1.3, 0.7)
training,0,Purple Cube,Other Object,(2.2, 0.5, -0.7)
training,0,Yellow Cube,Other Object,(1.6, 1.9, 1.0)
training,0,Blue Cube,Other Object,(2.1, 0.5, 0.4)
training,0,Purple Cube,Other Object,(2.7, 1.1, -0.5)
training,0,Purple Pyramids,Other Object,(2.6, 1.8, 1.7)
training,0,Purple Sphere,Other Object,(0.6, 1.5, 0.2)
training,0,Yellow Sphere,Other Object,(2.2, 1.6, 0.7)
training,0,Yellow Pyramids,Other Object,(1.0, 0.9, -0.3)
training,0,Yellow Sphere,Other Object,(1.0, 1.7, -0.4)
training,0,Purple Pyramids,Other Object,(2.4, 2.1, -0.5)
training,1,Yellow Cube,Other Object,(2.6, 0.6, 0.3)
training,1,Yellow Sphere,Other Object,(2.2, 0.8, 0.7)
training,1,Yellow Sphere,Other Object,(1.5, 0.6, 0.0)
training,1,Yellow Pyramids,Other Object,(2.7, 1.0, 1.8)
training,1,Yellow Sphere,Other Object,(2.7, 0.9, -0.7)
training,1,Yellow Cylinder,Other Object,(2.1, 2.0, 1.0)
training,1,Yellow Sphere,Other Object,(2.2, 2.1, -0.7)
training,1,Red Cube,Other Object,(1.6, 0.8, 1.2)
training,1,Purple Cube,Other Object,(1.1, 0.7, 0.5)
training,1,Red Cube,Other Object,(2.3, 1.9, -0.2)
training,1,Red Cube,Other Object,(2.3, 2.1, -1.2)
training,1,Purple Cube,Other Object,(2.4, 0.3, -0.3)
training,1,Red Cube,Other Object,(0.5, 0.9, 0.1)
training,1,Red Pyramids,Other Object,(2.0, 1.4, 1.0)
training,1,Purple Pyramids,Other Object,(1.8, 1.8, 0.1)
training,1,Purple Pyramids,Other Object,(1.5, 1.8, -0.9)
training,1,Red Cylinder,Other Object,(1.0, 1.3, 0.4)
training,1,Purple Pyramids,Other Object,(1.9, 0.4, 0.5)
training,1,Blue Sphere,Other Object,(2.5, 1.2, -1.3)
training,2,Purple Cube,Other Object,(2.2, 1.6, 0.6)
training,2,Purple Pyramids,Other Object,(1.6, 1.5, 0.9)
training,2,Purple Cylinder,Other Object,(2.6, 1.9, -1.0)
training,2,Purple Sphere,Other Object,(1.1, 0.6, 0.9)
training,2,Purple Cylinder,Other Object,(1.0, 1.6, 0.2)
training,2,Purple Cylinder,Other Object,(1.8, 0.5, 0.5)
training,2,Purple Pyramids,Other Object,(2.7, 2.3, 1.5)
training,2,Blue Cube,Other Object,(2.3, 0.8, -0.9)
training,2,Red Cube,Other Object,(1.6, 2.0, 0.7)
training,2,Yellow Cube,Other Object,(2.6, 0.5, -1.3)
training,2,Blue Cube,Other Object,(1.1, 1.3, 0.6)
training,2,Yellow Cube,Other Object,(0.5, 1.8, 0.5)
training,2,Blue Cube,Other Object,(2.3, 2.1, -0.1)
training,2,Yellow Cylinder,Other Object,(2.5, 1.0, 0.9)
training,2,Blue Cylinder,Other Object,(2.8, 1.4, 1.8)
training,2,Red Pyramids,Other Object,(2.6, 0.2, -0.1)
training,2,Red Cylinder,Other Object,(2.7, 1.7, 0.1)
training,2,Yellow Pyramids,Other Object,(2.0, 0.3, -0.8)
training,2,Blue Pyramids,Other Object,(0.8, 0.9, 0.2)
