Time,Block,TaskCount,Duration,X,Y,Z
1688204510690,training,-1,1250,1.6,1.2,-0.211
1688204516953,training,0,1750,1.6,1.2,-0.211
1688204523715,training,1,1500,1.6,1.2,-0.211
1688204530224,training,2,1500,1.6,1.2,-0.211
1688204536734,training,3,1250,1.6,1.2,-0.211
1688204671814,training,4,1750,1.6,1.2,-0.211
1688204709990,AV-difficult,-1,1500,1.6,1.2,-0.211
1688204714597,AV-difficult,0,1750,1.6,1.2,-0.211
1688204746896,AV-difficult,1,1250,1.6,1.2,-0.211
1688204754159,AV-difficult,2,1250,1.6,1.2,-0.211
1688204761417,AV-difficult,3,1500,1.6,1.2,-0.211
1688204768928,AV-difficult,4,1250,1.6,1.2,-0.211
1688204793982,AV-difficult,-1,1250,1.6,1.2,-0.211
1688204795242,AV-difficult,0,1250,1.6,1.2,-0.211
1688204843604,AV-difficult,1,1250,1.6,1.2,-0.211
1688204850862,AV-difficult,2,1750,1.6,1.2,-0.211
1688204858624,AV-difficult,3,1500,1.6,1.2,-0.211
1688204866132,AV-difficult,4,1750,1.6,1.2,-0.211
